name,TP,FP,FN,precision,recall,mse
mtcnn_all/Lindsey_Graham_0,1.0,0.1833,0.0,0.9083,1.0,1034.3646
mtcnn_all/Lindsey_Graham_1,1.0,0.0,0.0,1.0,1.0,2.6544
mtcnn_all/Lindsey_Graham_2,1.0,0.0,0.0,1.0,1.0,11.2152
mtcnn_all/Lindsey_Graham_3,1.0,0.0,0.0,1.0,1.0,3.0938
mtcnn_all/Lino_Oviedo_0,1.0,0.0,0.0,1.0,1.0,7.8448
mtcnn_all/Lino_Oviedo_3,1.0,0.0,0.0,1.0,1.0,1.7625
mtcnn_all/Lino_Oviedo_5,1.0,0.0,0.0,1.0,1.0,2.7237
mtcnn_all/Lin_Yung_Hsi_3,1.0,0.0,0.0,1.0,1.0,8.024
mtcnn_all/Lin_Yung_Hsi_4,1.0,0.0,0.0,1.0,1.0,10.9755
mtcnn_all/Lisa_Leslie_3,1.0,0.0,0.0,1.0,1.0,4.5169
mtcnn_all/Lisa_Leslie_5,0.7807,0.0053,0.2193,0.7807,0.7807,4.6731
mtcnn_all/Lisa_Ling_0,1.0,0.0,0.0,1.0,1.0,4.4044
mtcnn_all/Lisa_Ling_1,1.0,0.0,0.0,1.0,1.0,4.2717
mtcnn_all/Lisa_Ling_2,0.5,0.25,0.5,0.5,0.5,14.6589
mtcnn_all/Lisa_Marie_Presley_1,1.0,0.0,0.0,1.0,1.0,5.2123
mtcnn_all/Lisa_Marie_Presley_2,1.0,0.0,0.0,1.0,1.0,11.1374
mtcnn_all/Liu_Mingkang_0,1.0,0.0,0.0,1.0,1.0,5.1393
mtcnn_all/Liu_Mingkang_1,0.9875,0.05,0.0125,0.9625,0.9875,49.7964
mtcnn_all/Liu_Ye_0,1.0,0.0,0.0,1.0,1.0,5.1451
mtcnn_all/Liu_Ye_1,0.0,0.0,1.0,0.0,0.0,0.0
mtcnn_all/Liu_Ye_2,1.0,0.0,0.0,1.0,1.0,7.1325
mtcnn_all/Liu_Ye_5,0.8837,0.1163,0.1163,0.8837,0.8837,13.6773
