name,TP,FP,FN,precision,recall
viola_all/Luiz_Inacio_Lula_da_Silva_4,1.0,0.0292,0.0,0.9854,1.0
viola_all/Lyle_Lovett_2,0.9891,0.0874,0.0109,0.9508,0.9891
viola_all/Lyle_Lovett_4,1.0,0.0,0.0,1.0,1.0
viola_all/Lyle_Lovett_5,1.0,0.0588,0.0,0.9706,1.0
viola_all/Lynne_Cheney_0,1.0,0.0,0.0,1.0,1.0
viola_all/Lynne_Cheney_1,1.0,0.1481,0.0,0.9259,1.0
viola_all/Mack_Brown_0,1.0,0.0,0.0,1.0,1.0
viola_all/Mack_Brown_4,1.0,0.614,0.0,0.6988,1.0
viola_all/Mack_Brown_5,1.0,0.0,0.0,1.0,1.0
viola_all/Madeleine_Albright_3,1.0,0.4078,0.0,0.7961,1.0
viola_all/Madeleine_Albright_5,1.0,0.0417,0.0,0.9792,1.0
viola_all/Maggie_Cheung_0,1.0,0.0145,0.0,0.9928,1.0
viola_all/Maggie_Cheung_3,1.0,0.0,0.0,1.0,1.0
viola_all/Maggie_Cheung_5,1.0,0.0,0.0,1.0,1.0
viola_all/Maggie_Smith_0,1.0,0.0,0.0,1.0,1.0
viola_all/Maggie_Smith_3,1.0,0.0357,0.0,0.9821,1.0
viola_all/Maggie_Smith_4,1.0,0.0,0.0,1.0,1.0
viola_all/Mahathir_Mohamad_0,1.0,0.5417,0.0,0.7292,1.0
viola_all/Mahathir_Mohamad_1,1.0,0.0667,0.0,0.9667,1.0
viola_all/Mahathir_Mohamad_2,1.0,0.1875,0.0,0.9062,1.0
viola_all/Mahathir_Mohamad_3,1.0,0.2542,0.0,0.8729,1.0
viola_all/Mahmoud_Abbas_1,1.0,0.0,0.0,1.0,1.0
viola_all/Mahmoud_Abbas_5,1.0,0.0,0.0,1.0,1.0
viola_all/Malcolm_Jamal_Warner_0,1.0,0.0,0.0,1.0,1.0
viola_all/Malcolm_Jamal_Warner_1,1.0,0.014,0.0,0.993,1.0
viola_all/Malcolm_Jamal_Warner_2,1.0,0.0,0.0,1.0,1.0
viola_all/Manijeh_Hekmat_0,1.0,0.0,0.0,1.0,1.0
viola_all/Manijeh_Hekmat_2,1.0,0.0,0.0,1.0,1.0
viola_all/Manuel_Llorente_0,1.0,0.0,0.0,1.0,1.0
viola_all/Manuel_Llorente_3,1.0,0.0385,0.0,0.9808,1.0
viola_all/Manuel_Pellegrini_1,1.0,0.2174,0.0,0.8986,1.0
viola_all/Manuel_Pellegrini_2,1.0,0.009,0.0,0.9955,1.0
viola_all/Manuel_Pellegrini_3,1.0,0.0,0.0,1.0,1.0
viola_all/Marcos_Milinkovic_0,1.0,0.0,0.0,1.0,1.0
viola_all/Marcos_Milinkovic_2,1.0,0.2394,0.0,0.8803,1.0
viola_all/Marc_Anthony_1,1.0,0.0,0.0,1.0,1.0
viola_all/Marc_Anthony_2,1.0,0.1485,0.0,0.9257,1.0
viola_all/Marc_Anthony_5,1.0,0.0395,0.0,0.9803,1.0
viola_all/Marc_Bulger_0,1.0,0.0,0.0,1.0,1.0
viola_all/Marc_Bulger_1,1.0,0.0,0.0,1.0,1.0
viola_all/Marc_Racicot_0,1.0,0.0179,0.0,0.991,1.0
viola_all/Marc_Racicot_2,1.0,0.0,0.0,1.0,1.0
viola_all/Marc_Racicot_4,1.0,0.1,0.0,0.95,1.0
viola_all/Marc_Racicot_5,1.0,0.026,0.0,0.987,1.0
viola_all/Marc_Shaiman_1,1.0,0.0167,0.0,0.9917,1.0
viola_all/Marc_Shaiman_2,1.0,0.0,0.0,1.0,1.0
